1,Fool,65,Killer Teddy Bear,404,210,no,no,wk,no,no,no,no,wk,no,no,no,"",Laboratory
2,Fool,50,Crystal Skull D,2450,330,rs,rs,no,no,no,wk,no,no,no,no,no,"",Qliphoth
3,Fool,42,Cruel Leopard,393,234,no,rs,rs,no,no,no,no,no,wk,nu,no,"",Casino
4,Fool,38,Fused Ghost,367,240,rs,no,rs,no,no,no,rs,no,wk,nu,no,"",Adyeshach
5,Fool,16,Prankster Leader,232,174,no,wk,no,no,rs,rs,no,wk,no,no,no,"",Bank
6,Fool,8,Piggyback Demon,206,78,rs,no,no,no,wk,no,no,no,no,no,no,"",Aiyatsbus
7,Magician,63,Rhetorician of the Sea,670,513,no,no,no,ab,wk,no,nu,no,no,no,no,"",Cruiser
8,Magician,48,Dancing Witch,422,354,rp,rp,nu,no,wk,no,no,no,wk,nu,no,"",Casino
9,Magician,43,Midnight Queen,392,414,no,no,nu,no,rs,wk,no,no,no,no,no,"",Casino
10,Magician,28,Gathering Devil,240,180,rs,no,ab,no,no,no,no,no,wk,no,no,"",Kaitul
11,Magician,23,Envoy of Slumber,373,254,no,no,wk,no,wk,rs,no,no,no,no,no,"",Pyramid
12,Magician,17,Ascended Feline,258,168,no,no,no,no,wk,no,rs,no,no,no,no,"",Bank
13,Magician,11,Mocking Snowman,214,99,no,no,wk,nu,no,no,no,no,no,no,no,"",Museum
14,Magician,5,Hunting Puss in Boots,130,60,no,no,no,no,rs,wk,no,no,no,no,no,"",Castle
15,Magician,2,Crypt-Dwelling Pyromaniac,100,6,no,no,ab,wk,no,wk,no,no,no,no,no,"",Castle
16,Priestess,77,The Shadowed One,1346,321,no,no,no,nu,rp,no,no,no,no,nu,no,"",Laboratory
17,Priestess,53,Quaking Lady of Shadow,1290,465,no,no,no,rp,no,no,no,no,no,nu,no,"",Casino
18,Priestess,50,Strumming Veena Player,445,300,no,no,no,nu,rs,no,no,wk,no,no,no,"",Cruiser
